phase,flux,flux_err
-2.0178254846420187,1.0021083,0.0056173815
-2.01782043714058,1.0132798,0.005362827
-2.0176453251356246,0.9966751,0.0053167306
-2.0176163089062493,1.0072367,0.0053618634
-2.017594005591979,0.98817503,0.005607171
-2.0175889571612875,1.0049837,0.005360107
-2.0175005672869606,0.9984725,0.002415946
-2.017467177759442,1.0020452,0.0027630902
-2.0174138381724473,1.00079,0.0053183734
-2.017384826132299,0.98360837,0.005336385
-2.0173625265426294,1.0007907,0.005622683
-2.017357476715644,0.9925919,0.0053411545
-2.0172417369579656,0.99966997,0.0024151572
-2.017225747236114,1.0034329,0.0022578354
-2.0171823516735516,0.9938998,0.0053098937
-2.017153342892687,1.0029526,0.005359085
-2.017131047958941,0.9982334,0.0056116744
-2.017125996735661,0.997442,0.0053493045
-2.0170666081919633,0.99783576,0.0023992306
-2.017015308200918,0.9977654,0.0025385811
-2.016950865175691,1.0019442,0.0053201253
-2.0169218601194268,1.0083004,0.0053676814
-2.016899568908901,0.99608994,0.0056247176
-2.016894516755334,0.9977769,0.00534368
-2.016719378211824,0.9972624,0.0053063757
-2.0166960373548912,1.001387,0.0023808454
-2.0166903768794704,0.9920972,0.005350282
-2.0166680898588614,1.0006152,0.005616102
-2.016663036309345,0.99548364,0.005346172
-2.016487891713618,0.99851173,0.0053122016
-2.0164588941051753,0.9928192,0.0053505492
-2.0164366108098566,1.0076727,0.005632984
-2.0164315563300526,1.0024292,0.005350342
-2.0162564052154126,0.99861336,0.0053200913
-2.0162274108659086,1.0010905,0.005346727
-2.016205132225478,1.001601,0.0056189396
-2.0162000758857883,1.0016341,0.005354775
-2.0161116697126267,0.9967946,0.0024163898
-2.016078292300235,0.997981,0.0027585686
-2.0160249182515453,0.99427,0.005313244
-2.0159959280926483,1.0080364,0.0053687114
-2.0159736531757835,0.9965742,0.005621703
-2.0159685959064957,0.99767536,0.0053461106
-2.0158528556824664,1.0018702,0.0024168233
-2.015836869228005,0.99941415,0.0022556055
-2.0157934317536848,1.0038689,0.005320552
-2.015764445318698,1.0065024,0.0053592226
-2.0157421741260886,0.9996643,0.0056140567
-2.0157371154611967,1.0049301,0.0053552026
-2.015677688271061,1.0000892,0.0024007072
-2.0156264348347617,1.0003906,0.002541524
-2.015561945254789,0.9967685,0.00530844
-2.0155329620790865,0.9885287,0.0053414847
-2.0155106950767387,1.0030437,0.005633573
-2.0155056354808694,1.0063313,0.0053611076
-2.015330458291612,1.0049759,0.0053258305
-2.015307186353757,1.0003338,0.0023803476
-2.0153014793047914,0.99658704,0.005363948
-2.0152792164933953,1.0082936,0.005628035
-2.015274155500542,1.0022696,0.005353827
-2.015098971792716,1.0128422,0.0053341696
-2.0150699960651797,1.006307,0.005365515
-2.0150477374443905,1.0005823,0.005624445
-2.015042675055243,0.99629766,0.00533982
-2.0148674852948556,1.0046391,0.005317176
-2.0148385132915743,0.9977107,0.005357706
-2.0148162583943505,1.0066811,0.0056272303
-2.0148111950759504,1.0007123,0.005346519
-2.014722771671941,0.9999247,0.0024210988
-2.0146894068401653,1.0017518,0.0027615747
-2.0146359983316784,1.0020199,0.0053235725
-2.014607030052308,0.996198,0.0053475066
-2.014584779344311,1.0125878,0.005637645
-2.0145797146303064,0.9989616,0.005342886
-2.0144639748726285,0.9961268,0.0024107154
-2.014447991219033,0.99991506,0.0022558633
-2.0144045118338174,1.0083369,0.0057343724
-2.014375547279047,0.99782974,0.005361991
-2.014353300760967,0.9935955,0.005614011
-2.014348234649979,0.99298936,0.0053374595
-2.014288768351194,1.000024,0.0024000567
-2.0142375610025995,1.0006806,0.0025411884
-2.0141730253349217,1.0070709,0.005321724
-2.014144064504752,0.9949793,0.005353255
-2.0141218217109276,1.0013632,0.0056194887
-2.0141167542039904,1.0033324,0.0053516584
-2.0139415383717445,0.9949313,0.0053129694
-2.013918335353485,1.0009835,0.0023805522
-2.0139125812647958,0.99575144,0.0053449324
-2.0138903426612327,0.99700683,0.005622068
-2.0138852742240076,0.9903189,0.0053375284
-2.0137100518728492,0.99460685,0.005312764
-2.0136810984908453,1.0031927,0.0053582843
-2.0136588636115382,0.9983758,0.0056257425
-2.013653794244715,0.9966996,0.0053515267
-2.0134785653749883,1.0064621,0.0053246547
-2.013449615251579,1.0025778,0.005354159
-2.0134273850278497,1.0086056,0.005636425
-2.013422313799416,0.99923444,0.0053519807
-2.013333874096917,0.99494576,0.002412883
-2.0133005213800956,1.0002395,0.0027619042
-2.0132470784111214,0.9978704,0.0053208405
-2.0132181324779737,0.98931944,0.005345606
-2.0131959059778097,0.9990539,0.005626821
-2.0131908338190887,0.9991599,0.005359083
-2.013075093596094,1.0037198,0.0024179772
-2.013059113209544,1.0017287,0.00225622
-2.0130155919129153,0.9984646,0.0053182063
-2.0129866492380173,0.9897428,0.0053383773
-2.0129644269277702,1.0029272,0.0056269234
-2.0129593533731,1.0038042,0.005360589
-2.012899848431327,0.9977016,0.002400214
-2.0128486876360983,1.001072,0.0025421614
-2.0127841054147098,1.0016083,0.005327121
-2.012755166463377,0.9953165,0.0053518047
-2.0127329478784204,0.99780643,0.005617588
-2.0127278733938074,1.0085235,0.0053556776
-2.0125526184508424,0.991038,0.0053000036
